id,52Am-lxGyY8
published,"2016-01-07 16:57:15"
published_unix,1452185835
title,"Za božič je najraje doma"
description,"Punca je najverjetneje imela veliko tremo, kar pa je na koncu pripomoglo k temu, da je nastal precej komičen posnetek. 24.ur 6.1.2016 avtorske pravice: Kanal A / POP TV"
channelId,UCJe3-mrO0pPX7J2ws1u7Qzw
channelTitle,frajtonar1
duration,PT41S
dimension,2d
definition,hd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,578725
likeCount,2761
dislikeCount,
favoriteCount,0
commentCount,142
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
